"to_replace","value"
"&","AND"
"OF",""
"-BASED",""
"BASED",""
"FOR",""
"TYPE-I","TYPE-1"
"TYPE I",TYPE-1
"TYPE 1","TYPE-1"
"TYPE-II","TYPE-2"
"TYPE II","TYPE-2"
"TYPE 2","TYPE-2"
"TYPE2","TYPE-2"
"INTERVAL TYPE","TYPE"
"FORECASTING","PREDICTION"
"FORECAST","PREDICTION"
"TYPE2-FUZZY","TYPE-2 FUZZY"
"1-DIMENSIONAL","ONE-DIMENSIONAL"
"NEURAL-NET","NEURAL NETWORK"
"OPTIMISATION","OPTIMIZATION"
"ARTIFICIAL NEURAL NETWORK","NEURAL NETWORK"
"SOLAR IRRADIANCE","SOLAR RADIATION"
"SOLAR IRRADIATION","SOLAR RADIATION"
"BLOCK CHAIN","BLOCKCHAIN"