"pat","repl"
"&"," and "
" aandm "," a and m "
"the university of ","univ of "
"univ. nacional de ","univ n de "
"univ. de la ","univ de la "
"univ. del ","univ del "
"univ. do ","univ do "
"univ. of ","univ of "
"U. de "," univ de "
"unam,"," univ n autonoma de mexico,"
"ministry","min"
"ministrio","min"
"universidad","univ"
"universidade","univ"
"universita","univ"
"universite","univ"
"universiti","univ"
"universiteit","univ"
"university","univ"
"univerza","univ"
"unversitat","univ"
"bank","b"
"banco","b"
"agency","ag"
"agencia","ag"
"council","counc"
"concilio","counc"
"concejo","conc"
"office","off"
"oficina","off"
"commission","com"
"comision","com"
"consortium","consor"
"consorcio","consor"
"politec","politec"
"polytechnic","politec"
"politecnico","politec"
"compay","co"
"hospital","hosp"
"society","soc"
"sociedad","soc"
"association","assn"
"asociacion","asoc"
"corporation","corp"
"corporacion","corp"
"gobierno","gov"
"goverment","gov"
"organization","org"
"organizacion","org"
"fundation","found"
"fundacion","fund"
"national","n"
"nacional","n"
"centro","ctr"
"center","ctr"
"centre","ctr"